Name,City,IATA Code,Destination Count,Latitude,Longitude
Bancasi Airport,Butuan,BXU,4,8.9515,125.4788
Awang Airport,Cotabato,CBO,3,7.165239810943604,124.20999908447266
Laguindingan Airport,Cagayan de Oro City,CGY,7,8.612203,124.456496
Catarman National Airport,Catarman,CRM,2,12.502400398254395,124.63600158691406
Sibulan Airport,Dumaguete,DGT,4,9.3337097168,123.30000305200001
Al Maktoum International Airport,Dubai,DWC,48,24.896356,55.161389
General Santos International Airport,Romblon,GES,5,6.058000087740001,125.096000671
Kalibo International Airport,Kalibo,KLO,18,11.679400444,122.375999451
Legazpi City International Airport,Legazpi,LGP,4,13.1575,123.735
Ninoy Aquino International Airport,Manila,MNL,193,14.5086,121.019997
Godofredo P. Ramos Airport,Caticlan,MPH,4,11.9245,121.954002
Labo Airport,Ozamis,OZC,4,8.178509712219237,123.84200286865234
Puerto Princesa Airport,Puerto Princesa,PPS,9,9.742119789123537,118.75900268554688
Roxas Airport,Roxas City,RXS,3,11.597700119018555,122.7519989013672
Surigao Airport,Sangley Point,SUG,3,9.755838325629998,125.480947495
Tuguegarao Airport,Tuguegarao,TUG,3,17.6433676823,121.73315048200001
Zamboanga International Airport,Zamboanga,ZAM,6,6.922420024871826,122.05999755859376
Araguaína Airport,Araguaina,AUX,4,-7.227869999999999,-48.240501
Barreiras Airport,Barreiras,BRA,6,-12.078900337219238,-45.00899887084961
Presidente Juscelino Kubistschek International Airport,Brasilia,BSB,98,-15.86916732788086,-47.92083358764648
Cascavel Airport,Cascavel,CAC,3,-25.0002994537,-53.5008010864
Marechal Rondon Airport,Cuiaba,CGB,33,-15.6528997421,-56.1166992188
Campo Grande Airport,Campo Grande,CGR,17,-20.468700408900002,-54.6725006104
Dourados Airport,Dourados,DOU,3,-22.2019,-54.926601
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,GIG,98,-22.809999465900002,-43.2505569458
Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,GRU,193,-23.435556411743164,-46.47305679321289
Santa Genoveva Airport,Goiania,GYN,21,-16.631999969482422,-49.22069931030274
Presidente João Batista Figueiredo Airport,Sinop,OPS,3,-11.885000228881836,-55.58610916137695
Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,PLU,13,-19.851200103759766,-43.950599670410156
Brigadeiro Lysias Rodrigues Airport,Palmas,PMW,7,-10.2915000916,-48.3569984436
Leite Lopes Airport,Ribeirao Preto,RAO,19,-21.136388778686523,-47.77666854858398
Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,SJP,8,-20.8166007996,-49.40650177
Deputado Luiz Eduardo Magalhães International Airport,Salvador,SSA,58,-12.9086112976,-38.3224983215
Mário de Almeida Franco Airport,Uberaba,UBA,4,-19.764722824097,-47.966110229491996
Ten. Cel. Aviador César Bombonato Airport,Uberlandia,UDI,15,-18.883612,-48.225277
Vitória da Conquista Airport,Vitória Da Conquista,VDC,6,-14.8627996445,-40.8630981445
Southeast Iowa Regional Airport,Burlington,BRL,2,40.783199310302734,-91.12550354003906
Decatur Airport,Decatur,DEC,2,39.83459854125977,-88.8656997680664
Jonesboro Municipal Airport,Jonesboro,JBR,1,35.83169937133789,-90.64640045166016
Chicago O'Hare International Airport,Chicago,ORD,558,41.9786,-87.9048
St Louis Lambert International Airport,St. Louis,STL,114,38.748697,-90.370003
Ketchikan International Airport,Ketchikan,KTN,22,55.35559845,-131.7140045
Metlakatla Seaplane Base,Metakatla,MTM,3,55.131001,-131.578003
Barcelona International Airport,Barcelona,BCN,391,41.2971,2.0784599999999998
Banjul International Airport,Banjul,BJL,13,13.338000297546387,-16.65220069885254
Conakry International Airport,Conakry,CKY,18,9.576889999999999,-13.612
Douala International Airport,Douala,DLA,51,4.0060801506,9.71947956085
Lungi International Airport,Freetown,FNA,22,8.616439999999999,-13.1955
London Gatwick Airport,London,LGW,356,51.148102,-0.190278
Murtala Muhammed International Airport,Lagos,LOS,60,6.5773701667785645,3.321160078048706
Osvaldo Vieira International Airport,Bissau,OXB,7,11.894800186157227,-15.65369987487793
Roberts International Airport,Monrovia,ROB,16,6.23379,-10.3623
Akulivik Airport,Akulivik,AKV,2,60.81859970092773,-78.14859771728516
Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,XGR,1,58.71139907836914,-65.9927978515625
La Grande Rivière Airport,La Grande Riviere,YGL,3,53.62530136108398,-77.7042007446289
Kuujjuarapik Airport,Kuujjuarapik,YGW,7,55.281898498535156,-77.76529693603516
Ivujivik Airport,Ivujivik,YIK,2,62.41730117797852,-77.92530059814453
Kangirsuk Airport,Kangirsuk,YKG,3,60.027198791503906,-69.99919891357422
Schefferville Airport,Schefferville,YKL,5,54.80530166625977,-66.8052978515625
Inukjuak Airport,Inukjuak,YPH,3,58.471900939941406,-78.07689666748047
Aupaluk Airport,Aupaluk,YPJ,3,59.29669952392578,-69.59970092773439
Puvirnituq Airport,Puvirnituq,YPX,4,60.05059814453125,-77.28690338134766
Quebec Jean Lesage International Airport,Quebec,YQB,28,46.7911,-71.393303
Quaqtaq Airport,Quaqtaq,YQC,2,61.0463981628418,-69.6177978515625
Sanikiluaq Airport,Sanikiluaq,YSK,3,56.537799835200005,-79.2466964722
Tasiujaq Airport,Tasiujaq,YTQ,2,58.66780090332031,-69.95580291748047
Umiujaq Airport,Umiujaq,YUD,3,56.53609848022461,-76.51830291748047
Montreal / Pierre Elliott Trudeau International Airport,Montreal,YUL,185,45.4706001282,-73.7407989502
Rouyn Noranda Airport,Rouyn,YUY,5,48.20610046386719,-78.83560180664062
Kuujjuaq Airport,Quujjuaq,YVP,10,58.09609985351562,-68.42690277099611
Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,YWB,2,61.5886001587,-71.929397583
Wabush Airport,Wabush,YWK,16,52.92190170288086,-66.86440277099611
Salluit Airport,Salluit,YZG,2,62.17940139770508,-75.66719818115234
Sept-Îles Airport,Sept-iles,YZV,22,50.22330093383789,-66.26560211181639
Djibouti-Ambouli Airport,Djibouti,JIB,23,11.547300338745115,43.15950012207031
Aden Adde International Airport,Mogadishu,MGQ,10,2.014440059661865,45.3046989440918
Jomo Kenyatta International Airport,Nairobi,NBO,130,-1.31923997402,36.9277992249
Suvarnabhumi Airport,Bangkok,BKK,326,13.681099891662598,100.74700164794922
Darwin International Airport,Darwin,DRW,46,-12.41469955444336,130.87699890136722
Haikou Meilan International Airport,Haikou,HAK,108,19.93490028381348,110.45899963378906
Hangzhou Xiaoshan International Airport,Hangzhou,HGH,252,30.22949981689453,120.43399810791016
Hong Kong International Airport,Hong Kong,HKG,355,22.308901000000002,113.915001
Phuket International Airport,Phuket,HKT,71,8.1132,98.316902
Kansai International Airport,Osaka,KIX,152,34.42729949951172,135.24400329589844
Kuala Lumpur International Airport,Kuala Lumpur,KUL,257,2.7455799579619997,101.70999908446998
Penang International Airport,Penang,PEN,42,5.297140121459961,100.2770004272461
Perth International Airport,Perth,PER,92,-31.94029998779297,115.96700286865234
Phnom Penh International Airport,Phnom-penh,PNH,29,11.546600341796875,104.84400177001952
Siem Reap International Airport,Siem-reap,REP,42,13.410699844400003,103.81300354
Yangon International Airport,Yangon,RGN,49,16.907300949099998,96.1332015991
Tan Son Nhat International Airport,Ho Chi Minh City,SGN,109,10.8187999725,106.652000427
Singapore Changi Airport,Singapore,SIN,408,1.35019,103.994003
Jieyang Chaoshan International Airport,Shantou,SWA,35,23.552,116.5033
Taiwan Taoyuan International Airport,Taipei,TPE,264,25.0777,121.233002
